customer_id,name,email,age,city,signup_date,is_active,monthly_spend
1000,Alex 0,user0@example.com,47,Berlin,2022-01-01,false,43.42
1001,Alex 1,user1@example.com,34,Paris,2022-01-02,true,34.31
1002,Robin 2,user2@example.com,38,Madrid,2022-01-03,true,55.32
1003,Sam 3,user3@example.com,49,Vienna,2022-01-04,false,53.44
1004,Sam 4,user4@example.com,30,Warsaw,2022-01-05,true,27.45
1005,Sam 5,user5@example.com,47,Berlin,2022-01-06,true,60.29
1006,Alex 6,user6@example.com,43,Paris,2022-01-07,false,44.48
1007,Casey 7,user7@example.com,27,Madrid,2022-01-08,true,55.68
1008,Alex 8,user8@example.com,49,Vienna,2022-01-09,true,84.94
1009,Casey 9,user9@example.com,24,Warsaw,2022-01-10,false,63.83
1010,Jamie 10,user10@example.com,49,Berlin,2022-01-11,true,29.32
1011,Alex 11,user11@example.com,38,Paris,2022-01-12,true,41.56
1012,Alex 12,user12@example.com,48,Madrid,2022-01-13,false,24.16
1013,Alex 13,user13@example.com,34,Vienna,2022-01-14,true,66.22
1014,Sam 14,user14@example.com,38,Warsaw,2022-01-15,true,64.67
1015,Sam 15,user15@example.com,37,Berlin,2022-01-16,false,44.31
1016,Casey 16,user16@example.com,25,Paris,2022-01-17,true,54.21
1017,Casey 17,user17@example.com,46,Madrid,2022-01-18,true,47.54
1018,Alex 18,user18@example.com,42,Vienna,2022-01-19,false,46.96
1019,Casey 19,user19@example.com,45,Warsaw,2022-01-20,true,62.62
1020,Sam 20,user20@example.com,35,Berlin,2022-01-21,true,64.2
1021,Casey 21,user21@example.com,47,Paris,2022-01-22,false,60.82
1022,Jamie 22,user22@example.com,31,Madrid,2022-01-23,true,59.7
1023,Sam 23,user23@example.com,54,Vienna,2022-01-24,true,64.22
1024,Jamie 24,user24@example.com,36,Warsaw,2022-01-25,false,57.99
1025,Casey 25,user25@example.com,59,Berlin,2022-01-26,true,38.6
1026,Robin 26,user26@example.com,26,Paris,2022-01-27,true,43.05
1027,Alex 27,user27@example.com,47,Madrid,2022-01-28,false,47.43
1028,Sam 28,user28@example.com,26,Vienna,2022-01-29,true,48.08
